Id,Airline,Class,Cabin,Detail_En,Detail_Vi,Hạng ghế,Operated Airlines,From date,To date,Hành lý xách tay,Có hành lý xách tay?,Số kiện xách tay,Số kg/kiện xách tay,Hành lý ký gửi,Có hành lý ký gửi?,Số kiện ký gửi,Số kg/kiện ký gửi,Ghi chú HLKG,Bữa ăn,Có bữa ăn?,Áp dụng với chuyến bay từ,Hình thức hoàn (nếu có),Hạn sử dụng,Hoàn vé - Timeframe 1 - From,Hoàn vé - Timeframe 1 - From,Hoàn vé - Timeframe 1 - To,Lý do hoàn 1,Hỗ trợ hoàn 1?,Phí hoàn 1,Hoàn vé - Timeframe 2 - From,Hoàn vé - Timeframe 2 - To,Lý do hoàn 2,Hỗ trợ hoàn 2?,Phí hoàn 2,Thay đổi vé,Đổi vé - Timeframe 1 - From,Đổi vé - Timeframe 1 - To,Hỗ trợ đổi 1?,Phí đổi 1,Đổi vé - Timeframe 2 - From,Đổi vé - Timeframe 2 - To,Hỗ trợ đổi 2?,Phí đổi 2,Thay đổi tên,Hỗ trợ đổi tên,Đổi tên - From,Đổi tên - To,Phí đổi tên,Đổi chuyến tại sân bay,Hỗ trợ đổi chuyến tại sân bay?,Phí đổi chuyến tại sân bay,Khách bỏ chuyến,Hỗ trợ khách bỏ chuyến?,Phí bỏ chuyến,Quầy thủ tục ưu tiên,Phòng chờ thương gia,Hệ số cộng điểm,Chọn chỗ ngồi
,VJ,A1_DLX,Deluxe,Deluxe,Deluxe,Phổ thông đặc biệt,VJ,0,0,7kg,Yes,1,7,20kg,Yes,1,20,Null,No,No,,Định danh,180,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 24 tiếng trước giờ bay
- Bảo lưu tiền vé trong 180 ngày",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Miễn phí + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,0,No,No,,,,Null,No,,"No","No",,Yes,No,No,Miễn phí
,VJ,B1_DLX,Deluxe,Deluxe,Deluxe,Phổ thông đặc biệt,VJ,0,0,7kg,Yes,1,7,20kg,Yes,1,20,Null,No,No,,Định danh,180,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 24 tiếng trước giờ bay
- Bảo lưu tiền vé trong 180 ngày",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Miễn phí + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,0,No,No,,,,Null,No,,"No","No",,Yes,No,No,Miễn phí
,VJ,T1_DLX,Deluxe,Deluxe,Deluxe,Phổ thông đặc biệt,VJ,0,0,7kg,Yes,1,7,20kg,Yes,1,20,Null,No,No,,Định danh,180,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 24 tiếng trước giờ bay
- Bảo lưu tiền vé trong 180 ngày",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Miễn phí + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,0,No,No,,,,Null,No,,"No","No",,Yes,No,No,Miễn phí
,VJ,Z1_DLX,Deluxe,Deluxe,Deluxe,Phổ thông đặc biệt,VJ,0,0,7kg,Yes,1,7,20kg,Yes,1,20,Null,No,No,,Định danh,180,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 24 tiếng trước giờ bay
- Bảo lưu tiền vé trong 180 ngày",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Miễn phí + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,0,No,No,,,,Null,No,,"No","No",,Yes,No,No,Miễn phí
,VJ,W1_DLX,Deluxe,Deluxe,Deluxe,Phổ thông đặc biệt,VJ,0,0,7kg,Yes,1,7,20kg,Yes,1,20,Null,No,No,,Định danh,180,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 24 tiếng trước giờ bay
- Bảo lưu tiền vé trong 180 ngày",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Miễn phí + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,0,No,No,,,,Null,No,,"No","No",,Yes,No,No,Miễn phí
,VJ,J1_DLX,Deluxe,Deluxe,Deluxe,Phổ thông đặc biệt,VJ,0,0,7kg,Yes,1,7,20kg,Yes,1,20,Null,No,No,,Định danh,180,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 24 tiếng trước giờ bay
- Bảo lưu tiền vé trong 180 ngày",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Miễn phí + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,0,No,No,,,,Null,No,,"No","No",,Yes,No,No,Miễn phí
,VJ,U1_DLX,Deluxe,Deluxe,Deluxe,Phổ thông đặc biệt,VJ,0,0,7kg,Yes,1,7,20kg,Yes,1,20,Null,No,No,,Định danh,180,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 24 tiếng trước giờ bay
- Bảo lưu tiền vé trong 180 ngày",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Miễn phí + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,0,No,No,,,,Null,No,,"No","No",,Yes,No,No,Miễn phí
,VJ,I1_DLX,Deluxe,Deluxe,Deluxe,Phổ thông đặc biệt,VJ,0,0,7kg,Yes,1,7,20kg,Yes,1,20,Null,No,No,,Định danh,180,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 24 tiếng trước giờ bay
- Bảo lưu tiền vé trong 180 ngày",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Miễn phí + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,0,No,No,,,,Null,No,,"No","No",,Yes,No,No,Miễn phí
53,VJ,V_SBoss,Skyboss,Skyboss,Skyboss,Thương gia,VJ,0,0,10kg,Yes,1,10,30kg,Yes,1,30,1 bộ gậy chơi golf dưới 15kg,No,No,,Định danh,730,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 3 tiếng trước giờ bay
- Bảo lưu tiền vé trong 2 năm",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Miễn phí + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,0,"- Phí 385,000đ
- Báo tối thiểu 3 tiếng trước giờ bay",Yes,3,0,385000,Null,No,,No,No,,Yes,Yes,No,Miễn phí
189,VN,A,Economy,Economy Super Lite,Phổ thông siêu tiết kiệm,Phổ thông,VN,01/07/2022,0,12kg,Yes,1,12,0kg,No,,,Null,"- Chuyến bay >= 120p: Yes
- Chuyến bay < 120p: No",Yes,120,Không hoàn,null,No,0,0,Lý do cá nhân,No,null,,,,No,,No,0,0,No,null,,,,,No,No,,,,No,No,,No,"No",,No,No,10%,Thu phí
